category,no,name,unit,stock,price_per_unit,selling_price
STOCK LAIN,136,Primadona Yellow Sachet,pcs,1.0,875.0,1163.75
STOCK LAIN,137,Roll expired,pcs,2.0,4000.0,5320
STOCK LAIN,138,Roll Printer,pcs,3.0,4000.0,5320
STOCK LAIN,139,Sarung Tangan Plastik,pcs,3.0,88.0,117.04
STOCK LAIN,140,Sarung Tangan Latex,pcs,438.0,500.0,665
STOCK LAIN,141,Silica Gel,pcs,555.0,70.0,93.1
STOCK LAIN,142,Thanks Card,pcs,127.0,333.0,442.89
STOCK LAIN,143,Thinwall 1000 ml dengan tutup,pcs,6.0,1700.0,2261
STOCK LAIN,144,Thinwall 2000 ml dengan tutup,pcs,7.0,2800.0,3724
STOCK LAIN,145,Tissue,pck,0.0,6000.0,7980
STOCK LAIN,146,Voucher card,pcs,730.0,197.0,262.01
STOCK LAIN,147,Wuffy Sticker Kantong,pcs,192.0,11.0,14.63
STOCK LAIN,148,Wuffy Reddish Kantong,pcs,0.0,995.0,1323.35
STOCK LAIN,149,Wuffy Simple Kantong,pcs,0.0,1196.0,1590.68
STOCK LAIN,150,Wuffy Yellow Kantong,pcs,0.0,1168.0,1553.44
STOCK BAHAN LAIN,1,Bunga Lawang,gram,167.7,197,262.01
STOCK BAHAN LAIN,2,Lada Hitam Utuh,gram,256.0,150.0,199.5
STOCK BAHAN LAIN,3,Cranberry Kering,gram,493.1,144,191.52
STOCK BAHAN LAIN,4,Kiamboy,gram,206.0,250.0,332.5
STOCK BAHAN LAIN,5,Kelapa Kering,gram,106.0,200.0,266
STOCK BAHAN LAIN,6,Gojiberry Kering,gram,209.0,200.0,266
STOCK BAHAN LAIN,7,Plum Kering,gram,0.0,170.0,226.1
STOCK BAHAN LAIN,8,Manjakani,gram,106.0,150.0,199.5
STOCK BAHAN LAIN,9,Akar Legi,gram,305.0,100.0,133
STOCK BAHAN LAIN,10,Jeruk Manis Kering,gram,248.2,25.0,33.25
STOCK BAHAN LAIN,11,Jeruk Nipis Kering,gram,18.0,130,172.9
STOCK BAHAN LAIN,12,Kencur Basah,gram,0.0,35.0,46.55
STOCK BAHAN LAIN,13,Kencur Kering,gram,0.0,147,195.51
STOCK BAHAN LAIN,14,Melati Kering,gram,415.0,30.0,39.9
STOCK BAHAN LAIN,15,Strawberry Basah,gram,0.0,30.0,39.9
STOCK BAHAN LAIN,16,Strawberry Kering,gram,89.0,360,478.8
STOCK BAHAN LAIN,17,Teh Gardu,gram,25.0,87.5,116.375
STOCK BAHAN LAIN,18,Teh Bandulan,gram,22.0,94.0,125.02
STOCK BAHAN LAIN,19,Teh Naga,gram,0.0,5.0,6.65
STOCK BAHAN LAIN,20,Temulawak Basah,gram,0.0,34.0,45.22
STOCK BAHAN LAIN,21,Temulawak Kering,gram,63.0,142.8,189.924
STOCK BAHAN LAIN,22,Anggur Basah,gram,0.0,60.0,79.8
STOCK BAHAN LAIN,23,Anggur Kering,gram,86.0,402,534.66
STOCK BAHAN LAIN,24,Apel Basah,gram,0.0,30.0,39.9
STOCK BAHAN LAIN,25,Apel Kering,gram,0.0,210,279.3
STOCK BAHAN LAIN,26,Daun Kelor kering,gram,82.0,150.0,199.5
STOCK BAHAN LAIN,27,Kulit Manggis Kering,gram,0.0,100.0,133
STOCK BAHAN LAIN,28,Mengkudu Kering,gram,90.0,100.0,133
STOCK BAHAN LAIN,29,Teh Hijau,gram,0.0,250.0,332.5
STOCK BAHAN LAIN,30,Jurahab,gram,98.0,100.0,133
STOCK BAHAN LAIN,31,Daun Jati Cina,gram,18.0,250.0,332.5
STOCK BAHAN LAIN,32,Habbatussauda,gram,94.0,150.0,199.5
STOCK BAHAN LAIN,33,Mahkota Dewa,gram,26.0,285.0,379.05
STOCK BAHAN LAIN,34,Daun Sirsak,gram,132.0,150.0,199.5
STOCK BAHAN LAIN,35,Purwoceng,gram,114.0,200.0,266
STOCK BAHAN LAIN,36,Krisan Kering,gram,40.4,430.0,571.9
STOCK BAHAN LAIN,37,Rose Bud Kering,gram,94.0,500.0,665
STOCK BAHAN LAIN,38,Marigold Kering,gram,51.0,600.0,798
STOCK BAHAN LAIN,39,Kamomil Kering,gram,74.0,800.0,1064
